Node,Type,Subgraph,Status
/Flatten,Flatten,vaiml_par_0,Supported
/avgpool/GlobalAveragePool,GlobalAveragePool,vaiml_par_0,Supported
/conv1/Conv,Conv,vaiml_par_0,Supported
/fc/fc.0/Gemm,Gemm,vaiml_par_0,Supported
/fc/fc.1/Relu,Relu,vaiml_par_0,Supported
/fc/fc.2/Gemm,Gemm,vaiml_par_0,Supported
/layer1/layer1.0/Add,Add,vaiml_par_0,Supported
/layer1/layer1.0/conv1/Conv,Conv,vaiml_par_0,Supported
/layer1/layer1.0/conv2/Conv,Conv,vaiml_par_0,Supported
/layer1/layer1.0/conv3/Conv,Conv,vaiml_par_0,Supported
/layer1/layer1.0/downsample/downsample.0/Conv,Conv,vaiml_par_0,Supported
/layer1/layer1.0/relu/Relu,Relu,vaiml_par_0,Supported
/layer1/layer1.0/relu_1/Relu,Relu,vaiml_par_0,Supported
/layer1/layer1.0/relu_2/Relu,Relu,vaiml_par_0,Supported
/layer1/layer1.1/Add,Add,vaiml_par_0,Supported
/layer1/layer1.1/conv1/Conv,Conv,vaiml_par_0,Supported
/layer1/layer1.1/conv2/Conv,Conv,vaiml_par_0,Supported
/layer1/layer1.1/conv3/Conv,Conv,vaiml_par_0,Supported
/layer1/layer1.1/relu/Relu,Relu,vaiml_par_0,Supported
/layer1/layer1.1/relu_1/Relu,Relu,vaiml_par_0,Supported
/layer1/layer1.1/relu_2/Relu,Relu,vaiml_par_0,Supported
/layer1/layer1.2/Add,Add,vaiml_par_0,Supported
/layer1/layer1.2/conv1/Conv,Conv,vaiml_par_0,Supported
/layer1/layer1.2/conv2/Conv,Conv,vaiml_par_0,Supported
/layer1/layer1.2/conv3/Conv,Conv,vaiml_par_0,Supported
/layer1/layer1.2/relu/Relu,Relu,vaiml_par_0,Supported
/layer1/layer1.2/relu_1/Relu,Relu,vaiml_par_0,Supported
/layer1/layer1.2/relu_2/Relu,Relu,vaiml_par_0,Supported
/layer2/layer2.0/Add,Add,vaiml_par_0,Supported
/layer2/layer2.0/conv1/Conv,Conv,vaiml_par_0,Supported
/layer2/layer2.0/conv2/Conv,Conv,vaiml_par_0,Supported
/layer2/layer2.0/conv3/Conv,Conv,vaiml_par_0,Supported
/layer2/layer2.0/downsample/downsample.0/Conv,Conv,vaiml_par_0,Supported
/layer2/layer2.0/relu/Relu,Relu,vaiml_par_0,Supported
/layer2/layer2.0/relu_1/Relu,Relu,vaiml_par_0,Supported
/layer2/layer2.0/relu_2/Relu,Relu,vaiml_par_0,Supported
/layer2/layer2.1/Add,Add,vaiml_par_0,Supported
/layer2/layer2.1/conv1/Conv,Conv,vaiml_par_0,Supported
/layer2/layer2.1/conv2/Conv,Conv,vaiml_par_0,Supported
/layer2/layer2.1/conv3/Conv,Conv,vaiml_par_0,Supported
/layer2/layer2.1/relu/Relu,Relu,vaiml_par_0,Supported
/layer2/layer2.1/relu_1/Relu,Relu,vaiml_par_0,Supported
/layer2/layer2.1/relu_2/Relu,Relu,vaiml_par_0,Supported
/layer2/layer2.2/Add,Add,vaiml_par_0,Supported
/layer2/layer2.2/conv1/Conv,Conv,vaiml_par_0,Supported
/layer2/layer2.2/conv2/Conv,Conv,vaiml_par_0,Supported
/layer2/layer2.2/conv3/Conv,Conv,vaiml_par_0,Supported
/layer2/layer2.2/relu/Relu,Relu,vaiml_par_0,Supported
/layer2/layer2.2/relu_1/Relu,Relu,vaiml_par_0,Supported
/layer2/layer2.2/relu_2/Relu,Relu,vaiml_par_0,Supported
/layer2/layer2.3/Add,Add,vaiml_par_0,Supported
/layer2/layer2.3/conv1/Conv,Conv,vaiml_par_0,Supported
/layer2/layer2.3/conv2/Conv,Conv,vaiml_par_0,Supported
/layer2/layer2.3/conv3/Conv,Conv,vaiml_par_0,Supported
/layer2/layer2.3/relu/Relu,Relu,vaiml_par_0,Supported
/layer2/layer2.3/relu_1/Relu,Relu,vaiml_par_0,Supported
/layer2/layer2.3/relu_2/Relu,Relu,vaiml_par_0,Supported
/layer3/layer3.0/Add,Add,vaiml_par_0,Supported
/layer3/layer3.0/conv1/Conv,Conv,vaiml_par_0,Supported
/layer3/layer3.0/conv2/Conv,Conv,vaiml_par_0,Supported
/layer3/layer3.0/conv3/Conv,Conv,vaiml_par_0,Supported
/layer3/layer3.0/downsample/downsample.0/Conv,Conv,vaiml_par_0,Supported
/layer3/layer3.0/relu/Relu,Relu,vaiml_par_0,Supported
/layer3/layer3.0/relu_1/Relu,Relu,vaiml_par_0,Supported
/layer3/layer3.0/relu_2/Relu,Relu,vaiml_par_0,Supported
/layer3/layer3.1/Add,Add,vaiml_par_0,Supported
/layer3/layer3.1/conv1/Conv,Conv,vaiml_par_0,Supported
/layer3/layer3.1/conv2/Conv,Conv,vaiml_par_0,Supported
/layer3/layer3.1/conv3/Conv,Conv,vaiml_par_0,Supported
/layer3/layer3.1/relu/Relu,Relu,vaiml_par_0,Supported
/layer3/layer3.1/relu_1/Relu,Relu,vaiml_par_0,Supported
/layer3/layer3.1/relu_2/Relu,Relu,vaiml_par_0,Supported
/layer3/layer3.2/Add,Add,vaiml_par_0,Supported
/layer3/layer3.2/conv1/Conv,Conv,vaiml_par_0,Supported
/layer3/layer3.2/conv2/Conv,Conv,vaiml_par_0,Supported
/layer3/layer3.2/conv3/Conv,Conv,vaiml_par_0,Supported
/layer3/layer3.2/relu/Relu,Relu,vaiml_par_0,Supported
/layer3/layer3.2/relu_1/Relu,Relu,vaiml_par_0,Supported
/layer3/layer3.2/relu_2/Relu,Relu,vaiml_par_0,Supported
/layer3/layer3.3/Add,Add,vaiml_par_0,Supported
/layer3/layer3.3/conv1/Conv,Conv,vaiml_par_0,Supported
/layer3/layer3.3/conv2/Conv,Conv,vaiml_par_0,Supported
/layer3/layer3.3/conv3/Conv,Conv,vaiml_par_0,Supported
/layer3/layer3.3/relu/Relu,Relu,vaiml_par_0,Supported
/layer3/layer3.3/relu_1/Relu,Relu,vaiml_par_0,Supported
/layer3/layer3.3/relu_2/Relu,Relu,vaiml_par_0,Supported
/layer3/layer3.4/Add,Add,vaiml_par_0,Supported
/layer3/layer3.4/conv1/Conv,Conv,vaiml_par_0,Supported
/layer3/layer3.4/conv2/Conv,Conv,vaiml_par_0,Supported
/layer3/layer3.4/conv3/Conv,Conv,vaiml_par_0,Supported
/layer3/layer3.4/relu/Relu,Relu,vaiml_par_0,Supported
/layer3/layer3.4/relu_1/Relu,Relu,vaiml_par_0,Supported
/layer3/layer3.4/relu_2/Relu,Relu,vaiml_par_0,Supported
/layer3/layer3.5/Add,Add,vaiml_par_0,Supported
/layer3/layer3.5/conv1/Conv,Conv,vaiml_par_0,Supported
/layer3/layer3.5/conv2/Conv,Conv,vaiml_par_0,Supported
/layer3/layer3.5/conv3/Conv,Conv,vaiml_par_0,Supported
/layer3/layer3.5/relu/Relu,Relu,vaiml_par_0,Supported
/layer3/layer3.5/relu_1/Relu,Relu,vaiml_par_0,Supported
/layer3/layer3.5/relu_2/Relu,Relu,vaiml_par_0,Supported
