models/resnet_trained_for_cifar10.onnx quantization quantization info,2026-04-16 13:37:23
quantization stage,time consumed(s),sub stage,time consumed(s)
pre process,0.95
,,calibration: collect data (onnx inference + numpy statistics),3.53
,,calibration: compute data,8.47
calibration (collect data + compute data),12.28
static quantization,0.44
post process(including finetuning),0.00
e2e,14.850957274902612

Node Name,Op Type,Activation,Weights,Bias
/conv1/Conv,Conv,UINT8,INT8,INT8
/maxpool/MaxPool,MaxPool,UINT8,,
/layer1/layer1.0/conv1/Conv,Conv,UINT8,INT8,INT8
/layer1/layer1.0/downsample/downsample.0/Conv,Conv,UINT8,INT8,INT8
/layer1/layer1.0/conv2/Conv,Conv,UINT8,INT8,INT8
/layer1/layer1.0/conv3/Conv,Conv,UINT8,INT8,INT8
/layer1/layer1.0/Add,Add,UINT8,,
/layer1/layer1.1/conv1/Conv,Conv,UINT8,INT8,INT8
/layer1/layer1.1/conv2/Conv,Conv,UINT8,INT8,INT8
/layer1/layer1.1/conv3/Conv,Conv,UINT8,INT8,INT8
/layer1/layer1.1/Add,Add,UINT8,,
/layer1/layer1.2/conv1/Conv,Conv,UINT8,INT8,INT8
/layer1/layer1.2/conv2/Conv,Conv,UINT8,INT8,INT8
/layer1/layer1.2/conv3/Conv,Conv,UINT8,INT8,INT8
/layer1/layer1.2/Add,Add,UINT8,,
/layer2/layer2.0/conv1/Conv,Conv,UINT8,INT8,INT8
/layer2/layer2.0/downsample/downsample.0/Conv,Conv,UINT8,INT8,INT8
/layer2/layer2.0/conv2/Conv,Conv,UINT8,INT8,INT8
/layer2/layer2.0/conv3/Conv,Conv,UINT8,INT8,INT8
/layer2/layer2.0/Add,Add,UINT8,,
/layer2/layer2.1/conv1/Conv,Conv,UINT8,INT8,INT8
/layer2/layer2.1/conv2/Conv,Conv,UINT8,INT8,INT8
/layer2/layer2.1/conv3/Conv,Conv,UINT8,INT8,INT8
/layer2/layer2.1/Add,Add,UINT8,,
/layer2/layer2.2/conv1/Conv,Conv,UINT8,INT8,INT8
/layer2/layer2.2/conv2/Conv,Conv,UINT8,INT8,INT8
/layer2/layer2.2/conv3/Conv,Conv,UINT8,INT8,INT8
/layer2/layer2.2/Add,Add,UINT8,,
/layer2/layer2.3/conv1/Conv,Conv,UINT8,INT8,INT8
/layer2/layer2.3/conv2/Conv,Conv,UINT8,INT8,INT8
/layer2/layer2.3/conv3/Conv,Conv,UINT8,INT8,INT8
/layer2/layer2.3/Add,Add,UINT8,,
/layer3/layer3.0/conv1/Conv,Conv,UINT8,INT8,INT8
/layer3/layer3.0/downsample/downsample.0/Conv,Conv,UINT8,INT8,INT8
/layer3/layer3.0/conv2/Conv,Conv,UINT8,INT8,INT8
/layer3/layer3.0/conv3/Conv,Conv,UINT8,INT8,INT8
/layer3/layer3.0/Add,Add,UINT8,,
/layer3/layer3.1/conv1/Conv,Conv,UINT8,INT8,INT8
/layer3/layer3.1/conv2/Conv,Conv,UINT8,INT8,INT8
/layer3/layer3.1/conv3/Conv,Conv,UINT8,INT8,INT8
/layer3/layer3.1/Add,Add,UINT8,,
/layer3/layer3.2/conv1/Conv,Conv,UINT8,INT8,INT8
/layer3/layer3.2/conv2/Conv,Conv,UINT8,INT8,INT8
/layer3/layer3.2/conv3/Conv,Conv,UINT8,INT8,INT8
/layer3/layer3.2/Add,Add,UINT8,,
/layer3/layer3.3/conv1/Conv,Conv,UINT8,INT8,INT8
/layer3/layer3.3/conv2/Conv,Conv,UINT8,INT8,INT8
/layer3/layer3.3/conv3/Conv,Conv,UINT8,INT8,INT8
/layer3/layer3.3/Add,Add,UINT8,,
/layer3/layer3.4/conv1/Conv,Conv,UINT8,INT8,INT8
/layer3/layer3.4/conv2/Conv,Conv,UINT8,INT8,INT8
/layer3/layer3.4/conv3/Conv,Conv,UINT8,INT8,INT8
/layer3/layer3.4/Add,Add,UINT8,,
/layer3/layer3.5/conv1/Conv,Conv,UINT8,INT8,INT8
/layer3/layer3.5/conv2/Conv,Conv,UINT8,INT8,INT8
/layer3/layer3.5/conv3/Conv,Conv,UINT8,INT8,INT8
/layer3/layer3.5/Add,Add,UINT8,,
/layer4/layer4.0/conv1/Conv,Conv,UINT8,INT8,INT8
/layer4/layer4.0/downsample/downsample.0/Conv,Conv,UINT8,INT8,INT8
/layer4/layer4.0/conv2/Conv,Conv,UINT8,INT8,INT8
/layer4/layer4.0/conv3/Conv,Conv,UINT8,INT8,INT8
/layer4/layer4.0/Add,Add,UINT8,,
/layer4/layer4.1/conv1/Conv,Conv,UINT8,INT8,INT8
/layer4/layer4.1/conv2/Conv,Conv,UINT8,INT8,INT8
/layer4/layer4.1/conv3/Conv,Conv,UINT8,INT8,INT8
/layer4/layer4.1/Add,Add,UINT8,,
/layer4/layer4.2/conv1/Conv,Conv,UINT8,INT8,INT8
/layer4/layer4.2/conv2/Conv,Conv,UINT8,INT8,INT8
/layer4/layer4.2/conv3/Conv,Conv,UINT8,INT8,INT8
/layer4/layer4.2/Add,Add,UINT8,,
/avgpool/GlobalAveragePool,GlobalAveragePool,UINT8,,
/Flatten,Flatten,UINT8,,
/fc/fc.0/Gemm,Gemm,UINT8,INT8,INT8
/fc/fc.2/Gemm,Gemm,UINT8,INT8,INT8

Op Type,Activation,Weights,Bias
Conv,UINT8(53),INT8(53),INT8(53)
MaxPool,UINT8(1),,
Add,UINT8(16),,
GlobalAveragePool,UINT8(1),,
Flatten,UINT8(1),,
Gemm,UINT8(2),INT8(2),INT8(2)

